Exchange,Name,Trading_symbol,isin
BSE,FSN E-Commerce Ventures Limite,NYKAA,INE388Y01029
BSE,FUTURE LIFESTYLE FASHIONS LTD,FLFL,INE452O01016
BSE,FUTURE MARKET NETWORKS LTD.,FMNL,INE360L01017
BSE,Fairchem Organics Limited,FAIRCHEMOR,INE0DNW01011
BSE,Fine Organic Industries Limite,FINEORG,INE686Y01026
BSE,Future Enterprises Limited,FEL,INE623B01027
BSE,Future Enterprises Limited,FELDVR,IN9623B01058
BSE,G N A Axles Limited,GNA,INE934S01014
BSE,G R Infraprojects Limited,GRINFRA,INE201P01022
BSE,G.M.BREWERIES LTD.,GMBREW,INE075D01018
BSE,GABRIEL INDIA LTD.,GABRIEL,INE524A01029
BSE,GACM Technologies Limited - DV,GATECHDVR,INE224E01036
BSE,GAIL (INDIA) LTD.,GAIL,INE129A01019
BSE,GALLANTT ISPAT LIMITED,GALLANTT,INE297H01019
BSE,GANDHI SPECIAL TUBES LTD.,GANDHITUBE,INE524B01027
BSE,GANESH BENZOPLAST LTD.,GANESHBE,INE388A01029
BSE,GANESH HOUSING LIMITED,GANESHHOU,INE460C01014
BSE,GANESHA ECOSPHERE LTD.,GANECOS,INE845D01014
BSE,GARWARE HI-TECH FILMS LIMITED,GRWRHITECH,INE291A01017
